# Time,Step,PotEng
2.080000000000000000e+05,2.080000000000000000e+06,-9.344408799999999246e+03
2.082000000000000000e+05,2.082000000000000000e+06,-9.336059999999999491e+03
2.084000000000000000e+05,2.084000000000000000e+06,-9.351748199999999997e+03
2.086000000000000000e+05,2.086000000000000000e+06,-9.348739700000000084e+03
2.088000000000000000e+05,2.088000000000000000e+06,-9.337020099999999729e+03
2.090000000000000000e+05,2.090000000000000000e+06,-9.345815399999999499e+03
2.092000000000000000e+05,2.092000000000000000e+06,-9.351912500000000364e+03
2.094000000000000000e+05,2.094000000000000000e+06,-9.333388499999999112e+03
2.096000000000000000e+05,2.096000000000000000e+06,-9.338600500000000466e+03
2.098000000000000000e+05,2.098000000000000000e+06,-9.356993700000000899e+03
2.100000000000000000e+05,2.100000000000000000e+06,-9.350644299999999930e+03
2.102000000000000000e+05,2.102000000000000000e+06,-9.335215099999999438e+03
2.104000000000000000e+05,2.104000000000000000e+06,-9.347191100000000006e+03
2.106000000000000000e+05,2.106000000000000000e+06,-9.343239100000000690e+03
2.108000000000000000e+05,2.108000000000000000e+06,-9.348404699999999139e+03
2.110000000000000000e+05,2.110000000000000000e+06,-9.351871499999999287e+03
2.112000000000000000e+05,2.112000000000000000e+06,-9.339235099999999875e+03
2.114000000000000000e+05,2.114000000000000000e+06,-9.339655300000000352e+03
2.116000000000000000e+05,2.116000000000000000e+06,-9.348790899999999965e+03
2.118000000000000000e+05,2.118000000000000000e+06,-9.346055200000000696e+03
2.120000000000000000e+05,2.120000000000000000e+06,-9.346415999999999258e+03
2.122000000000000000e+05,2.122000000000000000e+06,-9.348263499999999112e+03
2.124000000000000000e+05,2.124000000000000000e+06,-9.349595999999999549e+03
2.126000000000000000e+05,2.126000000000000000e+06,-9.333315500000000611e+03
2.128000000000000000e+05,2.128000000000000000e+06,-9.349618500000000495e+03
2.130000000000000000e+05,2.130000000000000000e+06,-9.346881299999999101e+03
2.132000000000000000e+05,2.132000000000000000e+06,-9.351871399999999994e+03
